Year,Year ending,Police Region,Local Government Area, Offence Count ," Rate per 100,000 population "
2023,December,4 Western, Southern Grampians," 1,226 "," 7,444.7 "
2023,December,4 Western, Surf Coast," 1,205 "," 3,066.9 "
2023,December,4 Western, Swan Hill," 2,220 "," 10,466.8 "
2023,December,4 Western, Warrnambool," 3,174 "," 8,839.7 "
2023,December,4 Western, West Wimmera, 184 ," 4,679.6 "
2023,December,4 Western, Yarriambiack, 414 ," 6,480.9 "
2023,December,4 Western,Total," 86,820 "," 8,089.4 "
2023,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities," 2,163 ",  
2023,December,Justice Institutions and Immigration Facilities,Total," 2,163 ",  
2023,December,Unincorporated Vic, Unincorporated Vic, 146 ,  
2023,December,Unincorporated Vic,Total, 146 ,  
2022,December,1 North West Metro, Banyule," 7,667 "," 6,016.8 "
2022,December,1 North West Metro, Brimbank," 16,719 "," 8,645.1 "
2022,December,1 North West Metro, Darebin," 12,640 "," 8,392.8 "
2022,December,1 North West Metro, Hobsons Bay," 5,940 "," 6,466.1 "
2022,December,1 North West Metro, Hume," 18,186 "," 7,183.0 "
2022,December,1 North West Metro, Maribyrnong," 8,671 "," 9,897.8 "
2022,December,1 North West Metro, Melbourne," 34,514 "," 21,527.1 "
2022,December,1 North West Metro, Melton," 11,972 "," 6,194.0 "
2022,December,1 North West Metro, Merri-bek," 11,923 "," 6,817.6 "
2022,December,1 North West Metro, Moonee Valley," 7,572 "," 6,150.1 "
2022,December,1 North West Metro, Nillumbik," 1,604 "," 2,543.4 "
2022,December,1 North West Metro, Whittlesea," 12,482 "," 5,263.5 "
2022,December,1 North West Metro, Wyndham," 17,708 "," 5,723.4 "
2022,December,1 North West Metro, Yarra," 12,877 "," 13,937.4 "
2022,December,1 North West Metro,Total," 180,475 "," 7,993.8 "
2022,December,2 Eastern, Alpine, 459 ," 3,479.6 "
2022,December,2 Eastern, Bass Coast," 2,828 "," 6,763.4 "
2022,December,2 Eastern, Baw Baw," 4,146 "," 6,994.3 "
2022,December,2 Eastern, Benalla," 1,324 "," 9,154.4 "
2022,December,2 Eastern, Boroondara," 7,091 "," 4,180.2 "
2022,December,2 Eastern, East Gippsland," 4,881 "," 9,973.6 "
2022,December,2 Eastern, Greater Shepparton," 8,918 "," 12,931.4 "
2022,December,2 Eastern, Indigo, 730 ," 4,189.4 "
2022,December,2 Eastern, Knox," 9,130 "," 5,722.4 "
2022,December,2 Eastern, Latrobe," 11,173 "," 14,378.7 "
2022,December,2 Eastern, Manningham," 3,807 "," 3,007.8 "
2022,December,2 Eastern, Mansfield, 383 ," 3,704.8 "
2022,December,2 Eastern, Maroondah," 7,520 "," 6,496.3 "
2022,December,2 Eastern, Mitchell," 3,876 "," 7,499.7 "
2022,December,2 Eastern, Moira," 2,046 "," 6,689.8 "
2022,December,2 Eastern, Monash," 11,793 "," 6,045.2 "
2022,December,2 Eastern, Murrindindi, 749 ," 4,878.5 "
2022,December,2 Eastern, South Gippsland," 1,923 "," 6,262.2 "
2022,December,2 Eastern, Strathbogie, 602 ," 5,228.0 "
2022,December,2 Eastern, Towong, 159 ," 2,565.3 "
2022,December,2 Eastern, Wangaratta," 2,448 "," 8,183.2 "
2022,December,2 Eastern, Wellington," 4,485 "," 9,788.7 "
2022,December,2 Eastern, Whitehorse," 7,934 "," 4,596.6 "
2022,December,2 Eastern, Wodonga," 3,632 "," 8,308.2 "
2022,December,2 Eastern, Yarra Ranges," 6,957 "," 4,418.1 "
2022,December,2 Eastern,Total," 108,994 "," 6,358.0 "
2022,December,3 Southern Metro, Bayside," 4,946 "," 4,837.6 "
2022,December,3 Southern Metro, Cardinia," 6,155 "," 4,996.7 "
2022,December,3 Southern Metro, Casey," 20,890 "," 5,510.4 "
2022,December,3 Southern Metro, Frankston," 12,734 "," 9,020.9 "
2022,December,3 Southern Metro, Glen Eira," 6,918 "," 4,556.6 "
2022,December,3 Southern Metro, Greater Dandenong," 17,039 "," 10,696.6 "
2022,December,3 Southern Metro, Kingston," 10,707 "," 6,687.4 "
2022,December,3 Southern Metro, Mornington Peninsula," 9,294 "," 5,475.7 "
2022,December,3 Southern Metro, Port Phillip," 12,589 "," 12,093.6 "
2022,December,3 Southern Metro, Stonnington," 11,352 "," 10,656.8 "
2022,December,3 Southern Metro,Total," 112,624 "," 7,051.1 "
2022,December,4 Western, Ararat," 1,341 "," 11,405.0 "
2022,December,4 Western, Ballarat," 10,952 "," 9,440.5 "
2022,December,4 Western, Buloke, 289 ," 4,722.2 "
2022,December,4 Western, Campaspe," 3,337 "," 8,654.9 "
2022,December,4 Western, Central Goldfields," 1,174 "," 8,683.4 "
2022,December,4 Western, Colac-Otway," 1,550 "," 6,982.6 "
2022,December,4 Western, Corangamite, 682 ," 4,262.8 "
2022,December,4 Western, Gannawarra, 803 ," 7,622.9 "
2022,December,4 Western, Glenelg," 1,650 "," 8,229.8 "
2022,December,4 Western, Golden Plains, 599 ," 2,365.6 "
2022,December,4 Western, Greater Bendigo," 10,458 "," 8,522.9 "
2022,December,4 Western, Greater Geelong," 19,884 "," 7,188.7 "
2022,December,4 Western, Hepburn, 621 ," 3,747.1 "
2022,December,4 Western, Hindmarsh, 265 ," 4,731.3 "
2022,December,4 Western, Horsham," 2,384 "," 11,716.1 "
2022,December,4 Western, Loddon, 455 ," 5,871.0 "
2022,December,4 Western, Macedon Ranges," 2,026 "," 3,881.1 "
2022,December,4 Western, Mildura," 7,363 "," 12,861.1 "
2022,December,4 Western, Moorabool," 2,019 "," 5,240.6 "
2022,December,4 Western, Mount Alexander, 922 ," 4,536.5 "
2022,December,4 Western, Moyne, 662 ," 3,787.6 "
2022,December,4 Western, Northern Grampians, 984 ," 8,283.5 "
2022,December,4 Western, Pyrenees, 372 ," 4,860.8 "
2022,December,4 Western, Queenscliffe, 109 ," 3,384.0 "
2022,December,4 Western, Southern Grampians," 1,257 "," 7,664.2 "
2022,December,4 Western, Surf Coast," 1,057 "," 2,733.2 "
2022,December,4 Western, Swan Hill," 2,074 "," 9,765.1 "
2022,December,4 Western, Warrnambool," 2,928 "," 8,230.3 "
2022,December,4 Western, West Wimmera, 117 ," 2,967.3 "
2022,December,4 Western, Yarriambiack, 452 ," 7,021.9 "
2022,December,4 Western,Total," 78,786 "," 7,429.5 "
2022,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities," 2,053 ",  
2022,December,Justice Institutions and Immigration Facilities,Total," 2,053 ",  
2022,December,Unincorporated Vic, Unincorporated Vic, 108 ,  
2022,December,Unincorporated Vic,Total, 108 ,  
2021,December,1 North West Metro, Banyule," 7,350 "," 5,770.6 "
2021,December,1 North West Metro, Brimbank," 16,983 "," 8,637.0 "
2021,December,1 North West Metro, Darebin," 12,625 "," 8,400.1 "
2021,December,1 North West Metro, Hobsons Bay," 5,826 "," 6,314.3 "
2021,December,1 North West Metro, Hume," 17,875 "," 7,239.2 "
2021,December,1 North West Metro, Maribyrnong," 8,613 "," 9,970.5 "
2021,December,1 North West Metro, Melbourne," 33,625 "," 21,961.3 "
2021,December,1 North West Metro, Melton," 12,080 "," 6,661.3 "
2021,December,1 North West Metro, Merri-bek," 11,635 "," 6,706.1 "
2021,December,1 North West Metro, Moonee Valley," 7,887 "," 6,414.8 "
2021,December,1 North West Metro, Nillumbik," 2,203 "," 3,472.0 "
2021,December,1 North West Metro, Whittlesea," 13,146 "," 5,670.5 "
2021,December,1 North West Metro, Wyndham," 15,962 "," 5,386.7 "
2021,December,1 North West Metro, Yarra," 12,147 "," 13,272.4 "
2021,December,1 North West Metro,Total," 177,957 "," 8,038.2 "
2021,December,2 Eastern, Alpine, 552 ," 4,192.6 "
2021,December,2 Eastern, Bass Coast," 3,144 "," 7,729.6 "
2021,December,2 Eastern, Baw Baw," 4,467 "," 7,752.8 "
2021,December,2 Eastern, Benalla," 1,420 "," 9,836.5 "
2021,December,2 Eastern, Boroondara," 7,468 "," 4,398.4 "
2021,December,2 Eastern, East Gippsland," 4,920 "," 10,149.1 "
2021,December,2 Eastern, Greater Shepparton," 9,103 "," 13,284.0 "
2021,December,2 Eastern, Indigo, 612 ," 3,547.6 "
2021,December,2 Eastern, Knox," 10,028 "," 6,248.7 "
2021,December,2 Eastern, Latrobe," 11,297 "," 14,649.2 "
2021,December,2 Eastern, Manningham," 4,001 "," 3,179.9 "
2021,December,2 Eastern, Mansfield, 487 ," 4,811.8 "
2021,December,2 Eastern, Maroondah," 7,455 "," 6,422.6 "
2021,December,2 Eastern, Mitchell," 3,687 "," 7,416.7 "
2021,December,2 Eastern, Moira," 2,347 "," 7,728.8 "
2021,December,2 Eastern, Monash," 11,462 "," 5,942.2 "
2021,December,2 Eastern, Murrindindi, 808 ," 5,337.2 "
2021,December,2 Eastern, South Gippsland," 1,703 "," 5,604.2 "
2021,December,2 Eastern, Strathbogie, 637 ," 5,603.4 "
2021,December,2 Eastern, Towong, 194 ," 3,136.1 "
2021,December,2 Eastern, Wangaratta," 2,339 "," 7,861.9 "
2021,December,2 Eastern, Wellington," 4,384 "," 9,641.7 "
2021,December,2 Eastern, Whitehorse," 7,609 "," 4,447.7 "
2021,December,2 Eastern, Wodonga," 3,439 "," 7,959.4 "
2021,December,2 Eastern, Yarra Ranges," 7,609 "," 4,833.5 "
2021,December,2 Eastern,Total," 111,172 "," 6,529.8 "
2021,December,3 Southern Metro, Bayside," 4,280 "," 4,182.6 "
2021,December,3 Southern Metro, Cardinia," 6,419 "," 5,368.3 "
2021,December,3 Southern Metro, Casey," 19,791 "," 5,355.3 "
2021,December,3 Southern Metro, Frankston," 11,741 "," 8,337.4 "
2021,December,3 Southern Metro, Glen Eira," 6,837 "," 4,538.7 "
2021,December,3 Southern Metro, Greater Dandenong," 16,542 "," 10,332.3 "
2021,December,3 Southern Metro, Kingston," 9,624 "," 6,031.8 "
2021,December,3 Southern Metro, Mornington Peninsula," 9,008 "," 5,285.1 "
2021,December,3 Southern Metro, Port Phillip," 12,351 "," 11,940.5 "
2021,December,3 Southern Metro, Stonnington," 10,608 "," 9,989.6 "
2021,December,3 Southern Metro,Total," 107,201 "," 6,773.5 "
2021,December,4 Western, Ararat," 1,592 "," 13,460.7 "
2021,December,4 Western, Ballarat," 10,121 "," 8,916.9 "
2021,December,4 Western, Buloke, 285 ," 4,647.7 "
2021,December,4 Western, Campaspe," 3,285 "," 8,520.1 "
2021,December,4 Western, Central Goldfields," 1,082 "," 8,081.9 "
2021,December,4 Western, Colac-Otway," 1,551 "," 6,952.4 "
2021,December,4 Western, Corangamite, 868 ," 5,414.8 "
2021,December,4 Western, Gannawarra, 792 ," 7,461.1 "
2021,December,4 Western, Glenelg," 1,756 "," 8,754.6 "
2021,December,4 Western, Golden Plains, 609 ," 2,446.6 "
2021,December,4 Western, Greater Bendigo," 10,465 "," 8,629.4 "
